codigo,label
1,-
2,Agilidade
3,Agilidade e velocidade na aprendizagem
4,Alucinação da IA
5,Ansiedade por resolução de problemas complexos
6,Ansiedade por resultados
7,Análise crítica da solução
8,Análise de gráficos
9,Análise de logs
10,Análise e correção de bugs
11,Aplicação de boas práticas de programação
12,Apoio ao aprendizado
13,Apoio na resolução de problemas
14,Apoio à pesquisa
15,Aprofundamento técnico
16,Aumento da velocidade
17,Aumento de custos no uso de IA
18,Ausência de benefícios
19,Autocompletar atrapalha o fluxo de digitação
20,Automatização de testes
21,Automação de código repetido
22,Automação de processos
23,Automação de tarefas repetitivas
24,Automação de testes
25,Avanço contínio e rápido do projeto
26,Baixa assertividade da IA
27,Baixa efetividade na geração de código
28,Baixa qualidade das respostas
29,Baixo domínio da ferramenta
30,Comparação de abordagens de implementação
31,Comparação de performance e complexidade
32,Complexidade desnecessária
33,Compreensão da arquitetura
34,Compreensão de mudanças
35,Compreensão de regras de negócio
36,Condição para uso efetivo
37,Confiar demais na IA sem ter expertise no tema
38,Criação de consultas
39,Custo extra para o cliente
40,Código de baixa qualidade
41,Decisões inadequadas da IA
42,Degradação da qualidade do código
43,Dependência cognitiva da IA
44,Dependência da IA
45,Desconfiança na GenAI
46,Descumprimento de boas práticas
47,Desenvolvimento orientado à especificação
48,Desvio de escopo da solução
49,Dificuldade de alinhamento do uso de IA com práticas Scrum
50,Dificuldade de retenção de conhecimento
51,Documentação de baixa qualidade
52,Esclarecimento de dúvidas
53,Esforço na elaboração de prompts
54,Esforço para revisão
55,Esquecimento de processos básicos de desenvolvimento
56,Estagnação no aprendizado
57,Estruturação das entregas
58,Exaustão cognitiva
59,Excesso de confiança percebida na GenAI
60,Excesso de código
61,Execução de ações não solicitadas pela IA
62,Explicação de código
63,Facilidade em encontrar pontos críticos
64,Facilidade na execução de tarefas
65,Falta de acessibilidade
66,Falta de padronização de processos
67,Falta de preocupação com escalabilidade
68,Foco na lógica de negócio
69,Geração de exemplos
70,Geração de soluções inviáveis
71,Identificação de anomalias no código
72,Impactos indesejáveis
73,Inconsistência nas respostas da IA
74,Ineficiência da IA
75,Insegurança no uso da IA
76,Instabilidade da ferramenta de IA
77,Interferência no processo de aprendizado
78,Limitações de compreensão de contexto
79,Limitações técnicas da IA
80,Manutenção da continuidade do desenvolvimento
81,Melhoria na comunicação
82,Melhoria no desenvolvimento de software
83,Melhoria nos casos de uso
84,Modificações desnecessárias no código
85,Modificações indevidas no código
86,Má estimativa de esforço
87,Necessidade de ajustes
88,Necessidade de conhecimento para validação
89,Necessidade de moderação no uso
90,Necessidade de revisão
91,Necessidade de validação
92,Necessidade de validação dos resultados
93,Nomeação inadequada de código
94,Organização de ideias
95,Otimização de tempo
96,Perda de autonomia no desenvolvimento
97,Perda de conhecimento sobre o código
98,Perda de controle do código
99,Perda de habilidade cognitiva
100,Perda de tempo
101,Perda de tempo depurando códigos imprecisos/alucinações
102,Preferência por desenvolver o código manualmente
103,Pressão por avanços rápidos
104,Problemas de performance
105,Processos engessados
106,Produtividade
107,Qualidade do código
108,Realização de trabalhos manuais
109,Redução da capacidade analítica
110,Redução da capacidade de resolução de problemas
111,Redução de aprendizado
112,Redução de aprendizado (especialmente em juniores)
113,Redução de bugs
114,Redução de dívida técnica
115,Redução de tempo em tarefas simples
116,Redução do esforço cognitivo do desenvolvedor
117,Redução do pensamento crítico
118,Redução do pensamento lógico
119,Redução no tempo de entrega
120,Refinamento de projetos
121,Retrabalho no uso da IA
122,Riscos de compliance
123,Riscos de segurança
124,Riscos de segurança e confidencialidade
125,Sugestão de melhorias em artefatos
126,Sugestões não solicitadas da IA
127,Superficialidade das respostas geradas por IA
128,Suporte ao entendimento do contexto do sistema
129,Suporte ao planejamento de tarefas
130,Suporte em discussões técnicas
131,Suporte na tomada de decisões técnicas
132,Suporte à análise de código
133,Suporte à documentação
134,Suporte à implementação de POC
135,Suporte à implementação de código
136,Suporte à refatoração de código
137,Suporte à revisão de código
138,Suporte à sintaxe de código
139,Uso de prompt estruturado
140,Validação de ideias
141,Visualização de conteúdos
